KeywordID,Keyword,KeywordType
1,Hand exoskeleton,Author Keywords
2,motion intention recognition,Author Keywords
3,large language model (LLM),Author Keywords
4,ChatGPT,Author Keywords
5,incremental learning,Author Keywords
6,Exoskeletons,IEEE Keywords
7,Task analysis,IEEE Keywords
8,Thumb,IEEE Keywords
9,Robots,IEEE Keywords
10,Automation,IEEE Keywords
11,Grasping,IEEE Keywords
12,Control systems,IEEE Keywords
13,Autonomous LLM Agents,Author Keywords
14,Smart Home,Author Keywords
15,IoT,Author Keywords
16,Generative AI,Author Keywords
17,Embodied AI,Author Keywords
18,Personalized AI,Author Keywords
19,AI Assistant,Author Keywords
20,Smart homes,IEEE Keywords
21,Codes,IEEE Keywords
22,Performance evaluation,IEEE Keywords
23,Internet of Things,IEEE Keywords
24,Benchmark testing,IEEE Keywords
25,Smart devices,IEEE Keywords
26,Logic,IEEE Keywords
27,Process control,IEEE Keywords
28,Monitoring,IEEE Keywords
29,Manuals,IEEE Keywords
30,Connected electric vehicles,Author Keywords
31,deep deterministic policy gradient,Author Keywords
32,space-airground integrated vehicular networks (SAGVNs),Author Keywords
33,power dispatching,Author Keywords
34,Dispatching,IEEE Keywords
35,Vehicles,IEEE Keywords
36,Uncertainty,IEEE Keywords
37,Electric vehicle charging,IEEE Keywords
38,Vehicle dynamics,IEEE Keywords
39,Data models,IEEE Keywords
40,Power distribution,IEEE Keywords
41,Heuristic algorithms,IEEE Keywords
42,Costs,IEEE Keywords
43,Decision making,IEEE Keywords
44,Diagnosis,Author Keywords
45,Medical imaging,Author Keywords
46,Transformer,Author Keywords
47,Fuzzy selector,Author Keywords
48,LLM,Author Keywords
49,Transformers,IEEE Keywords
50,Image segmentation,IEEE Keywords
51,Medical diagnostic imaging,IEEE Keywords
52,Computer architecture,IEEE Keywords
53,Medical services,IEEE Keywords
54,Computational modeling,IEEE Keywords
55,Accuracy,IEEE Keywords
56,Training,IEEE Keywords
57,Convolution,IEEE Keywords
58,Context modeling,IEEE Keywords
59,Chatbots,Author Keywords
60,higher education,Author Keywords
61,moodle,Author Keywords
62,moodlebot,Author Keywords
59,Chatbots,IEEE Keywords
63,Education,IEEE Keywords
64,Computer science,IEEE Keywords
65,Databases,IEEE Keywords
66,Mentoring,IEEE Keywords
67,Information technology,IEEE Keywords
68,Information systems,IEEE Keywords
69,Adaptation models,IEEE Keywords
70,Vectors,IEEE Keywords
71,Large language model (LLM),Author Keywords
72,Tool-using LLM agent,Author Keywords
73,Privacy,Author Keywords
74,Homomorphic encryption,Author Keywords
75,$ t$ -Closeness,Author Keywords
73,Privacy,IEEE Keywords
76,Image color analysis,IEEE Keywords
77,Cryptography,IEEE Keywords
78,Data privacy,IEEE Keywords
79,Forgery,IEEE Keywords
80,Large language model,Author Keywords
81,telecommunications,Author Keywords
82,generation,Author Keywords
83,classification,Author Keywords
84,prediction,Author Keywords
85,optimization,Author Keywords
86,Telecommunications,IEEE Keywords
87,6G mobile communication,IEEE Keywords
88,Optimization,IEEE Keywords
89,Surveys,IEEE Keywords
90,Sensors,IEEE Keywords
91,Reinforcement learning,IEEE Keywords
92,Activation checkpointing,Author Keywords
93,Deepspeed,Author Keywords
94,large language model (LLM) training,Author Keywords
95,Megatron,Author Keywords
96,selective checkpointing,Author Keywords
97,1F1B(one forward pass followed by one backward pass),Author Keywords
98,Checkpointing,IEEE Keywords
99,Memory management,IEEE Keywords
100,Partitioning algorithms,IEEE Keywords
101,Parallel processing,IEEE Keywords
102,Large language models,IEEE Keywords
103,autonomous system,Author Keywords
104,agent,Author Keywords
105,visual analysis,Author Keywords
106,Visualization,IEEE Keywords
107,Autonomous systems,IEEE Keywords
108,Data visualization,IEEE Keywords
109,Complexity theory,IEEE Keywords
110,Collaboration,IEEE Keywords
102,Large language models,Author Keywords
111,life satisfaction,Author Keywords
112,machine learning,Author Keywords
113,natural language processing,Author Keywords
114,psychometrics,Author Keywords
115,Predictive models,IEEE Keywords
116,Psychology,IEEE Keywords
117,Analytical models,IEEE Keywords
118,Regression tree analysis,IEEE Keywords
119,Machine learning,IEEE Keywords
120,Correlation,IEEE Keywords
121,Feature extraction,IEEE Keywords
122,Natural language processing,IEEE Keywords
123,Autonomous vehicles,Author Keywords
124,large language models (LLMs),Author Keywords
125,mamba,Author Keywords
126,trajectory prediction,Author Keywords
127,Trajectory,IEEE Keywords
123,Autonomous vehicles,IEEE Keywords
128,Forecasting,IEEE Keywords
129,Encoding,IEEE Keywords
130,Cognition,IEEE Keywords
131,Visual analytics,Author Keywords
132,large language models,Author Keywords
133,model evaluation,Author Keywords
134,responsible AI,Author Keywords
135,machine learning interpretability,Author Keywords
136,Internet,IEEE Keywords
137,Pipelines,IEEE Keywords
138,Oral communication,IEEE Keywords
139,Numerical models,IEEE Keywords
140,Fuzzing,Author Keywords
119,Machine learning,Author Keywords
141,Large Language Models,Author Keywords
142,Python,Author Keywords
140,Fuzzing,IEEE Keywords
143,Testing,IEEE Keywords
142,Python,IEEE Keywords
144,Libraries,IEEE Keywords
145,Security,IEEE Keywords
146,Protocols,IEEE Keywords
147,Measurement,IEEE Keywords
148,reconfigurable intelligent surface,Author Keywords
149,large language model,Author Keywords
150,6G,Author Keywords
151,Internet of Vehicles,Author Keywords
152,Reconfigurable intelligent surfaces,IEEE Keywords
153,Wireless communication,IEEE Keywords
154,Wireless sensor networks,IEEE Keywords
155,Quality of service,IEEE Keywords
156,Reliability,IEEE Keywords
157,Healthcare,Author Keywords
158,Emotion Recognition,Author Keywords
159,Large Language Model,Author Keywords
160,Multi-teacher Knowledge Distillation,Author Keywords
161,Brain modeling,IEEE Keywords
162,Electroencephalography,IEEE Keywords
163,Emotion recognition,IEEE Keywords
164,Physiology,IEEE Keywords
165,Knowledge engineering,IEEE Keywords
166,Bioinformatics,IEEE Keywords
167,Biological system modeling,IEEE Keywords
168,Generative Internet of Things,Author Keywords
169,Table Question Answering,Author Keywords
170,Prompt Engineering,Author Keywords
171,Artificial intelligence,IEEE Keywords
172,Structured Query Language,IEEE Keywords
173,Servers,IEEE Keywords
174,Question answering (information retrieval),IEEE Keywords
175,Transforms,IEEE Keywords
176,Social networking (online),IEEE Keywords
177,Planning,IEEE Keywords
178,Hardware design languages,IEEE Keywords
179,Integrated circuit modeling,IEEE Keywords
180,Natural languages,IEEE Keywords
181,Hardware,IEEE Keywords
182,Data collection,IEEE Keywords
183,Weakly supervised learning,Author Keywords
184,medical image segmentation,Author Keywords
185,contrastive learning,Author Keywords
186,LLMs,Author Keywords
187,Contrastive learning,IEEE Keywords
188,Semantics,IEEE Keywords
189,Annotations,IEEE Keywords
190,Noise measurement,IEEE Keywords
191,Semantic segmentation,IEEE Keywords
192,Clinical staging of liver cancer (CSoLC),Author Keywords
193,Chinese radiology reports,Author Keywords
194,domain knowledge,Author Keywords
195,Radiology,IEEE Keywords
196,Liver cancer,IEEE Keywords
197,Cancer,IEEE Keywords
198,Liver,IEEE Keywords
199,Lesions,IEEE Keywords
200,Sensitivity,IEEE Keywords
201,Magnetic resonance imaging,IEEE Keywords
202,Cybersecurity,Author Keywords
203,insider threat,Author Keywords
204,deep learning,Author Keywords
205,transformer,Author Keywords
206,BERT,Author Keywords
207,RoBERTa,Author Keywords
208,XLNet,Author Keywords
209,DistilBERT,Author Keywords
210,GPT,Author Keywords
211,data augmentation,Author Keywords
212,artificial intelligence,Author Keywords
213,Pre-trained LLM,Author Keywords
214,PETuning,Author Keywords
215,Adapter,Author Keywords
216,LoRA,Author Keywords
217,BitFit,Author Keywords
218,NLP,Author Keywords
219,Threat assessment,IEEE Keywords
220,Tuning,IEEE Keywords
221,Organizations,IEEE Keywords
222,Transfer learning,IEEE Keywords
223,Deep learning,IEEE Keywords
224,Computer security,IEEE Keywords
225,Data augmentation,IEEE Keywords
226,Hardware Security,Author Keywords
227,SoC Security Verification,Author Keywords
228,Hardware Vulnerability,Author Keywords
229,Hardware security,IEEE Keywords
230,System-on-chip,IEEE Keywords
231,Logical anomaly detection,Author Keywords
232,industrial anomaly detection,Author Keywords
233,dataset annotation,Author Keywords
234,Anomaly detection,IEEE Keywords
235,Image reconstruction,IEEE Keywords
236,Stroke,Author Keywords
237,Irregularly spaced time-series data,Author Keywords
238,Multi-dimensional data,Author Keywords
239,Cohort analysis,Author Keywords
240,Large language odels,Author Keywords
131,Visual analytics,IEEE Keywords
241,Stroke (medical condition),IEEE Keywords
242,Cognitive load,IEEE Keywords
243,Electronic mail,IEEE Keywords
244,Fact-checking,Author Keywords
245,Fuzzy Inference System,Author Keywords
246,Deep Neuro-Fuzzy System,Author Keywords
247,Fuzzy systems,IEEE Keywords
248,Fuzzy logic,IEEE Keywords
106,Visualization,Author Keywords
249,Graphical Perception,Author Keywords
250,Bars,IEEE Keywords
251,Layout,IEEE Keywords
252,Affordances,IEEE Keywords
253,Companies,IEEE Keywords
254,Sports visualization,Author Keywords
255,tactic board,Author Keywords
256,tactical analysis,Author Keywords
257,Sports,IEEE Keywords
258,Videos,IEEE Keywords
259,Interviews,IEEE Keywords
260,Games,IEEE Keywords
261,Software Vulnerability Analysis,Author Keywords
262,Software,IEEE Keywords
263,Software quality,IEEE Keywords
264,Source coding,IEEE Keywords
265,Software systems,IEEE Keywords
266,Software engineering,IEEE Keywords
267,Nickel,IEEE Keywords
268,multimodal AI,Author Keywords
269,physics-informed AI,Author Keywords
270,power electronics (PE) design,Author Keywords
271,power converter design,Author Keywords
272,Modulation,IEEE Keywords
273,Knowledge based systems,IEEE Keywords
274,Metaheuristics,IEEE Keywords
275,Power electronics,IEEE Keywords
276,Physics,IEEE Keywords
277,IAI,Author Keywords
278,networking,Author Keywords
279,pluggable LLM module,Author Keywords
280,AGI,Author Keywords
281,RAG,Author Keywords
282,problem formulation,Author Keywords
283,Prediction algorithms,IEEE Keywords
284,Satellite communications,Author Keywords
285,generative AI agent,Author Keywords
286,MoE,Author Keywords
287,PPO,Author Keywords
288,network design,Author Keywords
16,Generative AI,IEEE Keywords
289,Satellites,IEEE Keywords
290,Low earth orbit satellites,IEEE Keywords
291,Mathematical models,IEEE Keywords
292,Resource management,IEEE Keywords
293,Distributed computing,Author Keywords
294,embedded system,Author Keywords
295,message passing interface (MPI),Author Keywords
296,neural networks,Author Keywords
297,Routing,IEEE Keywords
298,Synchronization,IEEE Keywords
299,Hybrid prompt learning,Author Keywords
300,multi-type Li-ion batteries,Author Keywords
301,state-of-charge estimation,Author Keywords
302,Estimation,IEEE Keywords
303,State of charge,IEEE Keywords
304,Temperature measurement,IEEE Keywords
305,Robustness,IEEE Keywords
306,Mobile handsets,IEEE Keywords
307,Grounding,IEEE Keywords
308,agent collaboration,Author Keywords
309,smart contract,Author Keywords
310,blockchain,Author Keywords
311,decentralized autonomous,Author Keywords
312,Smart contracts,IEEE Keywords
313,Blockchains,IEEE Keywords
314,Probability,IEEE Keywords
315,System analysis and design,IEEE Keywords
316,Supply chain management,IEEE Keywords
317,Visual Analytics for Machine Learning,Author Keywords
318,Artificial Intelligence Security,Author Keywords
319,Text Visualization,Author Keywords
320,Toxicology,IEEE Keywords
321,Safety,IEEE Keywords
322,Statistical learning,IEEE Keywords
323,Intelligent systems,IEEE Keywords
324,Graph Neural Networks,Author Keywords
325,Natural Language Processing,Author Keywords
326,Graph Representation Learning,Author Keywords
327,Graph neural networks,IEEE Keywords
328,Bidirectional control,IEEE Keywords
329,Network health assessment,Author Keywords
330,Network performance optimization,Author Keywords
331,Fault diagnosis,IEEE Keywords
332,Protection,IEEE Keywords
333,Long short term memory,IEEE Keywords
334,Visualization literacy,Author Keywords
335,visual communication,Author Keywords
336,Visual communication,IEEE Keywords
337,Channel estimation,IEEE Keywords
338,Receivers,IEEE Keywords
339,Bandwidth,IEEE Keywords
340,Decoding,IEEE Keywords
341,Graphics processing units,IEEE Keywords
342,Autonomous networks,IEEE Keywords
343,Prompt engineering,IEEE Keywords
344,Generators,IEEE Keywords
345,generative ai,Author Keywords
346,multi-agent,Author Keywords
347,reinforcement learning,Author Keywords
348,semantic communication,Author Keywords
349,Data mining,IEEE Keywords
350,Data communication,IEEE Keywords
351,Multi-agent systems,IEEE Keywords
352,Generative adversarial networks,IEEE Keywords
353,Large Language Models (LLMs),Author Keywords
354,Search Engines,Author Keywords
355,Learning-to-Rank (LTR),Author Keywords
356,and Retrieve-Augmented Generation (RAG),Author Keywords
357,Search engines,IEEE Keywords
358,Service computing,IEEE Keywords
359,Indexing,IEEE Keywords
360,Intentdriven Networking,Author Keywords
361,Network Intelligence,Author Keywords
362,memristor crossbar,Author Keywords
363,model deployment,Author Keywords
364,non-volatile memory,Author Keywords
365,Memristors,IEEE Keywords
366,Random access memory,IEEE Keywords
367,Nonvolatile memory,IEEE Keywords
368,Neural networks,IEEE Keywords
369,Energy efficiency,IEEE Keywords
370,Energy consumption,IEEE Keywords
371,Transistors,IEEE Keywords
372,Fake News,Author Keywords
373,Misinformation Detection,Author Keywords
374,Prompting Techniques,Author Keywords
375,Rumour News,Author Keywords
376,Sentiment and Emotion,Author Keywords
377,Fake news,IEEE Keywords
378,Linguistics,IEEE Keywords
379,Blogs,IEEE Keywords
380,pre-training model,Author Keywords
381,intrusion detection system,Author Keywords
382,internet of vehicle,Author Keywords
383,Telecommunication traffic,IEEE Keywords
377,Fake news,Author Keywords
384,Fake news detection,Author Keywords
385,Large language models (LLMs),Author Keywords
386,Voting,IEEE Keywords
387,Reviews,IEEE Keywords
388,Moon,IEEE Keywords
389,History,IEEE Keywords
390,Ambiguity,Author Keywords
391,Completeness,Author Keywords
392,Inconsistency,Author Keywords
393,Requirements Engineering,Author Keywords
394,Software Engineering,Author Keywords
395,Software Requirements Specifications (SRS),Author Keywords
396,Stakeholders,IEEE Keywords
397,Requirements engineering,IEEE Keywords
398,Defect detection,IEEE Keywords
399,Software development management,IEEE Keywords
400,IATS,Author Keywords
401,large-scale traffic flow prediction,Author Keywords
402,edge computing,Author Keywords
403,Roads,IEEE Keywords
404,network optimization,Author Keywords
405,combinatorial optimization,Author Keywords
406,access point placement,Author Keywords
407,Solid modeling,IEEE Keywords
408,Wireless networks,IEEE Keywords
409,Ray tracing,IEEE Keywords
410,Floors,IEEE Keywords
411,Cyber-attack detection,Author Keywords
412,Volt/VAR control,Author Keywords
413,Text security,Author Keywords
414,Distribution network,Author Keywords
415,Cyberattack,IEEE Keywords
416,Inverters,IEEE Keywords
417,Electric potential,IEEE Keywords
418,Voltage control,IEEE Keywords
419,Standards,IEEE Keywords
420,Drug-Target Interactions (DTIs),Author Keywords
421,Deep Learning (DL),Author Keywords
422,protein language model,Author Keywords
423,drug features fusion,Author Keywords
424,Bacteria,IEEE Keywords
425,Archaea,IEEE Keywords
426,Viruses (medical),IEEE Keywords
427,Fungi,IEEE Keywords
428,Proteins,IEEE Keywords
429,Drugs,IEEE Keywords
430,Atomic measurements,IEEE Keywords
431,Industries,IEEE Keywords
432,Disinformation,Author Keywords
433,Computational Social Sciences,Author Keywords
434,Hallucinations in LLMs,Author Keywords
435,Information integrity,IEEE Keywords
436,Navigation,IEEE Keywords
437,Market research,IEEE Keywords
438,Social sciences,IEEE Keywords
439,Communication systems,IEEE Keywords
440,Production,IEEE Keywords
441,Ethics,IEEE Keywords
442,Text visualization,Author Keywords
443,sensemaking,Author Keywords
444,hypergraph,Author Keywords
445,hierarchical clusters,Author Keywords
446,corpus analysis,Author Keywords
447,Intelligent agents,IEEE Keywords
448,Tag clouds,IEEE Keywords
449,Human-AI interactions,Author Keywords
450,knowledge graph,Author Keywords
451,conversational agent,Author Keywords
452,progressive visualization,Author Keywords
453,Knowledge graphs,IEEE Keywords
454,Alzheimer's disease,IEEE Keywords
455,Edge-Cloud Synergy AI,Author Keywords
456,Lifelong Learning,Author Keywords
457,Internet of Things (IoT),Author Keywords
458,Artificial Intelligence of Things (AIoT),Author Keywords
459,Cloud computing,IEEE Keywords
460,Flaky Tests,Author Keywords
461,Fix Category,Author Keywords
462,Test Repair,Author Keywords
463,Code Models,Author Keywords
464,Few Shot Learning,Author Keywords
465,Software Testing,Author Keywords
466,Maintenance engineering,IEEE Keywords
467,Java,IEEE Keywords
468,Few shot learning,IEEE Keywords
469,Semantic communication,Author Keywords
470,multimodal fusion,Author Keywords
471,robust reconstruction,Author Keywords
472,Signal to noise ratio,IEEE Keywords
473,Artificial neural networks,Author Keywords
474,irregular time series classification,Author Keywords
475,pre-trained language models,Author Keywords
476,time series classification,Author Keywords
477,Time series analysis,IEEE Keywords
473,Artificial neural networks,IEEE Keywords
478,Classification algorithms,IEEE Keywords
479,Embedded Visualization,Author Keywords
480,Narrative and storytelling,Author Keywords
481,Basketball tactic,Author Keywords
482,Question-answering (QA) system,Author Keywords
483,Fans,IEEE Keywords
484,Prevention and mitigation,IEEE Keywords
485,Prototypes,IEEE Keywords
486,Risk mitigation,IEEE Keywords
487,vehicular honeypot,Author Keywords
488,dynamic contract theory,Author Keywords
489,privacy-preserving,Author Keywords
490,incentive mechanism,Author Keywords
491,Contracts,IEEE Keywords
492,Visualization Recommendation,Author Keywords
493,Best practices,IEEE Keywords
494,Training data,IEEE Keywords
495,Code generation,Author Keywords
496,code security,Author Keywords
497,CWE,Author Keywords
498,prompt engineering,Author Keywords
499,vulnerability,Author Keywords
500,Computational intelligence,IEEE Keywords
501,evidence-based medicine,Author Keywords
502,clinical NLP,Author Keywords
343,Prompt engineering,Author Keywords
503,Sleep,IEEE Keywords
504,Diseases,IEEE Keywords
505,register-transfer level,Author Keywords
506,timing analysis,Author Keywords
507,power modeling,Author Keywords
508,Timing,IEEE Keywords
509,Logic gates,IEEE Keywords
510,Ethereum Smart Contracts,Author Keywords
511,Multi-Class Imbalance,Author Keywords
512,Multi-Class Classification,Author Keywords
513,Smart Contract Vulnerability,Author Keywords
514,Solidity Code,Author Keywords
515,QLoRA,Author Keywords
516,Deep Learning,Author Keywords
517,Repeatability,Author Keywords
518,Foundation Models,Author Keywords
519,Fine-tuning,Author Keywords
520,Reproducibility of results,IEEE Keywords
521,LoRa,IEEE Keywords
522,phishing sites,Author Keywords
523,social engineering,Author Keywords
524,Phishing,IEEE Keywords
525,Uniform resource locators,IEEE Keywords
526,Crawlers,IEEE Keywords
527,Web pages,IEEE Keywords
528,Visualization Literacy,Author Keywords
529,Natural Language,Author Keywords
530,Attention,Author Keywords
531,games,Author Keywords
532,generative models,Author Keywords
533,procedural content generation,Author Keywords
534,visual analytics,Author Keywords
535,Fine-tuned large language model,Author Keywords
536,visualization system,Author Keywords
537,self-regulated learning,Author Keywords
538,intelligent tutorial system,Author Keywords
539,Tutorials,IEEE Keywords
540,Multimodal Large Language Models,Author Keywords
541,VisualLanguage Learning,Author Keywords
542,Interactive Perception Network,Author Keywords
543,Conversational crowdsensing,Author Keywords
544,crowdsensing intelligence (CSI),Author Keywords
545,Industry 5.0,Author Keywords
546,parallel intelligence,Author Keywords
547,retrieval augmented generation (RAG),Author Keywords
548,Crowdsensing,IEEE Keywords
549,Robot sensing systems,IEEE Keywords
550,Fifth Industrial Revolution,IEEE Keywords
551,Aerospace electronics,IEEE Keywords
552,Distribution system state estimation,Author Keywords
553,forecasting,Author Keywords
554,multi-task learning,Author Keywords
555,State estimation,IEEE Keywords
556,Voltage measurement,IEEE Keywords
557,Distribution networks,IEEE Keywords
558,Power measurement,IEEE Keywords
559,Topology,IEEE Keywords
560,Real-time systems,IEEE Keywords
561,Commit Message Generation,Author Keywords
562,Empirical Study,Author Keywords
563,In-Context Learning,Author Keywords
564,Systematics,IEEE Keywords
565,Sensor data synthesis,Author Keywords
566,knowledge transfer,Author Keywords
567,Diffusion Model,Author Keywords
568,Reinforcement Learning,Author Keywords
569,Sensor phenomena and characterization,IEEE Keywords
570,Synthetic data,IEEE Keywords
571,Knowledge transfer,IEEE Keywords
572,Chart-question answering,Author Keywords
573,multimodal large language models,Author Keywords
574,benchmark,Author Keywords
575,AI-Enabled Robotics,Author Keywords
576,Human-Centered Robotics,Author Keywords
577,Service Robotics,Author Keywords
578,Datasets for Human Motion,Author Keywords
579,Modeling and Simulating Humans,Author Keywords
580,Probabilistic logic,IEEE Keywords
581,Three-dimensional displays,IEEE Keywords
582,Indoor environment,IEEE Keywords
583,Service robots,IEEE Keywords
584,Legged locomotion,IEEE Keywords
585,text summarization,Author Keywords
586,human-computer interaction,Author Keywords
587,dimensionality reduction,Author Keywords
588,Text summarization,IEEE Keywords
589,Natural language generation,IEEE Keywords
590,Hesitant fuzzy linguistic term sets,Author Keywords
591,multi attributes decision making,Author Keywords
592,natural language models,Author Keywords
593,regret theory,Author Keywords
